ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Downloads;Price
61076031;"Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in)";"Mary-Kate &amp; Ashley Olsen";2000;HarperEntertainment;0;29,95
439095026;Tell Me This Isn't Happening;Robynn Clairday;1999;Scholastic;2;0
689821166;Flood : Mississippi 1927;Kathleen Duey;1998;Aladdin;3;79,9
971880107;Wild Animus;Rich Shapero;2004;Too Far;3;56
345402871;Airframe;Michael Crichton;1997;Ballantine Books;0;109,9
345417623;Timeline;MICHAEL CRICHTON;2000;Ballantine Books;2;13,3
684823802;OUT OF THE SILENT PLANET;C.S. Lewis;1996;Scribner;0;195
375759778;Prague : A Novel;ARTHUR PHILLIPS;2003;Random House Trade Paperbacks;1;0
425163091;Chocolate Jesus;Stephan Jaramillo;1998;Berkley Publishing Group;3;71,92
3404921038;Wie Barney es sieht.;Mordecai Richler;2002;L√?¬ºbbe;0;99,9
3442353866;Der Fluch der Kaiserin. Ein Richter- Di- Roman.;Eleanor Cooney;2001;Goldmann;2;176
3442410665;Sturmzeit. Roman.;Charlotte Link;1991;Goldmann;3;99,9
3442446937;Tage der Unschuld.;Richard North Patterson;2000;Goldmann;0;150
375406328;Lying Awake;Mark Salzman;2000;Alfred A. Knopf;2;0
446310786;To Kill a Mockingbird;Harper Lee;1988;"Little Brown &amp; Company";3;149,9
449005615;Seabiscuit: An American Legend;LAURA HILLENBRAND;2002;Ballantine Books;3;149,9
60168013;Pigs in Heaven;Barbara Kingsolver;1993;Harpercollins;1;139
038078243X;Miss Zukas and the Raven's Dance;Jo Dereske;1996;Avon;1;164
055321215X;Pride and Prejudice;Jane Austen;1983;Bantam;2;49,9
067176537X;The Therapeutic Touch: How to Use Your Hands to Help or to Heal;Dolores Krieger;1979;Fireside;1;99,9
61099686;Downtown;Anne Rivers Siddons;1995;HarperTorch;1;139
553582909;Icebound;Dean R. Koontz;2000;Bantam Books;1;129,9
671888587;I'll Be Seeing You;Mary Higgins Clark;1994;Pocket;25;349
553582747;From the Corner of His Eye;Dean Koontz;2001;Bantam Books;13;399
425182908;Isle of Dogs;Patricia Cornwell;2002;Berkley Publishing Group;3;99,9
042518630X;Purity in Death;J.D. Robb;2002;Berkley Publishing Group;1;109
440223571;This Year It Will Be Different: And Other Stories;Maeve Binchy;1997;Dell;1;176
812523873;Proxies;Laura J. Mixon;1999;Tor Books;3;199
842342702;Left Behind: A Novel of the Earth's Last Days (Left Behind #1);Tim Lahaye;2000;Tyndale House Publishers;1;169
440225701;The Street Lawyer;JOHN GRISHAM;1999;Dell;0;119
60914068;Love, Medicine and Miracles;M.D. Bernie S. Siegel;1988;HarperCollins Publishers;1;299
156047624;All the King's Men;Robert Penn Warren;1982;Harvest Books;1;102
245542957;Pacific Northwest;Hans Johannes Hoefer;1985;Chambers Harrap Publishers Ltd;4;164
380715899;A Soldier of the Great War;Mark Helprin;1992;Avon Books;1;199
553280333;Getting Well Again;O. Carol Simonton Md;1992;Bantam;1;110
961769947;Northwest Wines and Wineries;Chuck Hill;1993;Speed Graphics;0;229,9
964778319;An Atmosphere of Eternity: Stories of India;David Iglehart;2002;Sunflower Press;2;20
671623249;LONESOME DOVE;Larry McMurtry;1986;Pocket;1;96
679810307;Shabanu: Daughter of the Wind (Border Trilogy);SUZANNE FISHER STAPLES;1991;Laurel Leaf;2;239
679865691;Haveli (Laurel Leaf Books);SUZANNE FISHER STAPLES;1995;Laurel Leaf;9;299
2070423204;Lieux dits;Michel Tournier;2002;Gallimard;25;199
345260317;The Dragons of Eden: Speculations on the Evolution of Human Intelligence;Carl Sagan;1978;Ballantine Books;4;199
394743741;The yawning heights;Aleksandr Zinoviev;1980;Random House;2;149,9
042511774X;Breathing Lessons;Anne Tyler;1994;Berkley Publishing Group;25;269
804106304;The Joy Luck Club;Amy Tan;1994;Prentice Hall (K-12);2;239
1853262404;Heart of Darkness (Wordsworth Collection);Joseph Conrad;1998;NTC/Contemporary Publishing Company;0;49,9
312970242;The Angel Is Near;Deepak Chopra;2000;St. Martin's Press;5;158
1853260053;Tess of the D'Urbervilles (Wordsworth Classics);Thomas Hardy;1997;NTC/Contemporary Publishing Company;6;159
1414035004;The Adventures of Drew and Ellie: The Magical Dress;Charles Noland;2003;1stBooks Library;0;139
60938412;The Accidental Virgin;Valerie Frankel;2003;Avon Trade;6;149
140067477;The Tao of Pooh;Benjamin Hoff;1983;Penguin Books;5;169
345465083;Seabiscuit;LAURA HILLENBRAND;2003;Ballantine Books;0;75
451625889;The Prince;Niccolo Machiavelli;1952;Signet Book;25;249
1558531025;Life's Little Instruction Book (Life's Little Instruction Books (Paperback));H. Jackson Brown;1991;Thomas Nelson;21;249
441783589;Starship Troopers;Robert A. Heinlein;1987;Ace Books;1;176,9
394895894;The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1);PHILIP PULLMAN;1988;Laurel Leaf;6;54,99
1569871213;Black Beauty (Illustrated Classics);Anna Sewell;1995;Landoll;1;209
375410538;Anil's Ghost;MICHAEL ONDAATJE;2000;Knopf;25;119
966986105;Prescription for Terror;Sandra Levy Ceren;1999;Andrew Scott Publishers;25;59,9
087113375X;Modern Manners: An Etiquette Book for Rude People;P.J. O'Rourke;1990;Atlantic Monthly Press;7;149
340767936;Turning Thirty;Mike Gayle;2000;"Hodder &amp; Stoughton General Division";2;119,9
743403843;Decipher;Stel Pavlou;2002;"Simon &amp; Schuster (Trade Division)";5;199
60930365;My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell;Sarah Payne Stuart;1999;Perennial;3;99,9
60177586;Standing Firm: A Vice-Presidential Memoir;Dan Quayle;1994;Harpercollins;4;119
71416331;Team Bush : Leadership Lessons from the Bush White House;Donald F. Kettl;2003;McGraw-Hill;1;49,9
375509038;The Right Man : The Surprise Presidency of George W. Bush;DAVID FRUM;2003;Random House;1;99,9
553062042;Daybreakers Louis Lamour Collection;Louis Lamour;1981;Bantam Doubleday Dell;1;39
316769487;The Catcher in the Rye;J.D. Salinger;1991;Little, Brown;1;103
8445071408;El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish));J. R. R. Tolkien;2001;Minotauro;2;29,95
8445071769;El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback));J. R. R. Tolkien;2001;Minotauro;14;399
8445071777;El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.);J. R. R. Tolkien;2001;Distribooks;2;99,9
679429220;Midnight in the Garden of Good and Evil: A Savannah Story;John Berendt;1994;Random House;0;199
671867156;Pretend You Don't See Her;Mary Higgins Clark;1998;Pocket;2;0
312252617;Fast Women;Jennifer Crusie;2001;St. Martin's Press;2;33,99
312261594;Female Intelligence;Jane Heller;2001;St. Martin's Press;4;79,99
316748641;Pasquale's Nose: Idle Days in an Italian Town;Michael Rips;2002;Back Bay Books;15;79,99
316973742;The Gospel of Judas: A Novel;Simon Mawer;2002;Back Bay Books;1;164
385235941;Prize Stories, 1987: The O'Henry Awards;William Abrahams;1987;Doubleday Books;8;249
446677450;Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!;Robert T. Kiyosaki;2000;Warner Books;2;115
451166892;The Pillars of the Earth;Ken Follett;1996;Signet Book;13;39
553347594;McDonald's: Behind the Arches;John F. Love;1995;Bantam;0;199
671621009;Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!;Robert G. Allen;1986;Fireside;12;59,9
067976397X;Corelli's Mandolin : A Novel;LOUIS DE BERNIERES;1995;Vintage;8;99
684822733;Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans;Pam Proctor;1996;Fireside;1;0
786868716;The Five People You Meet in Heaven;Mitch Albom;2003;Hyperion;1;199
8472238822;Tu Nombre Escrito En El Agua (La Sonrisa Vertical);Irene Gonzalez Frei;2002;Tusquets;7;199,9
671864769;Relics (Star Trek: The Next Generation);Michael Jan Friedman;1992;Star Trek;2;0
671521519;Bless The Beasts And Children : Bless The Beasts And Children;Glendon Swarthout;1995;Pocket;9;149
440222303;The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5);Neal Barrett Jr.;1996;Dell;0;149,9
312953453;Blood Oath;David Morrell;1994;St. Martin's Press;6;149
446608653;The Alibi;Sandra Brown;2000;Warner Books;9;599
446612545;The Beach House;James Patterson;2003;Warner Books;25;279,3
446612618;A Kiss Remembered;Sandra Brown;2003;Warner Books;25;269
451208080;The Short Forever;Stuart Woods;2003;Signet Book;25;69,9
553584383;Dead Aim;IRIS JOHANSEN;2004;Bantam Books;18;249
671027360;"Angels &amp; Demons";Dan Brown;2001;Pocket Star;16;99,9
812575954;The Deal;Joe Hutsko;2000;Tor Books (Mm);11;149
316735736;All He Ever Wanted: A Novel;Anita Shreve;2004;Back Bay Books;4;99,9
743439740;Every Breath You Take : A True Story of Obsession, Revenge, and Murder;Ann Rule;2002;Pocket;1;55
345372700;If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground;LEWIS GRIZZARD;1991;Ballantine Books;4;79,99
380619458;The Mosquito Coast;Paul Theroux;1990;Harper Mass Market Paperbacks (Mm);5;79,99
446325805;If Love Were Oil, I'd Be About a Quart Low;Lewis Grizzard;1994;Warner Books (Mm);9;0
451406923;Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims;Charles Hickey;1996;Onyx Books;6;79,99
671042858;The Girl Who Loved Tom Gordon;Stephen King;2000;Pocket;0;89,9
743249992;Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions;Ben Mezrich;2003;Free Press;4;99,9
840734530;The Oneprince (The Redaemian Chronicles, Book 1);Bill Hand;1992;Thomas Nelson Inc;2;59,9
425184226;The Sum of All Fears;Tom Clancy;2002;Berkley Publishing Group;1;260
375500766;Care Packages : Letters to Christopher Reeve from Strangers and Other Friends;DANA REEVE;1999;Random House;1;89,9
9724119378;O Deus Das Pequenas Coisas;Roy;1998;Edicoes Asa;2;210
451205197;Lady in Green/Minor Indiscretions (Signet Regency Romance);Barbara Metzger;2002;Signet Book;1;19,99
60929790;One Hundred Years of Solitude;Gabriel Garcia Marquez;1998;Perennial;0;29,95
60976845;Little Altars Everywhere: A Novel;Rebecca Wells;1996;Perennial;2;89,9
61099325;Coyote Waits (Joe Leaphorn/Jim Chee Novels);Tony Hillerman;1992;HarperTorch;4;200
671004573;Before I Say Good-Bye;Mary Higgins Clark;2001;Pocket;4;349
446601640;Slow Waltz in Cedar Bend;Robert James Waller;1994;Warner Books;1;139
330484516;Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title);Rachel Harris;2001;Pan Macmillan;1;0
038572179X;Atonement : A Novel;IAN MCEWAN;2003;Anchor;25;295
393020371;Next: The Future Just Happened;Michael Lewis;2001;"W.W. Norton &amp; Company";25;349
1900850303;The Angelic Darkness;Richard Zimler;1999;Arcadia Books;12;459
1903019699;The Soulbane Stratagem;Norman Jetmundsen;2000;John Hunt Publishing, Ltd.;2;99,9
345425294;Gangster;Lorenzo Carcaterra;2002;Fawcett Books;2;179
451410319;Hush;Anne Frasier;2002;Onyx Books;25;249
553583468;Whisper of Evil (Hooper, Kay. Evil Trilogy.);Kay Hooper;2002;Bantam Books;5;249
8420639133;Temor y Temblor;Soren Kierkegaard;2001;Alianza;5;129
8476409419;Estudios sobre el amor;Jose Ortega Y Gaset;2001;Downtown Book Center;4;79,99
380778556;Rebecca;Daphne Du Maurier;1994;Avon;12;176
451525221;Scarlet Letter;Nathaniel Hawthorne;1993;Signet Book;2;164
2740230;Keep It Simple: And Get More Out of Life;Nick Page;1999;Trafalgar Square;2;119
385336772;Diary of a Mad Mom-To-Be;Laura Wolf;2003;Delta;6;79,99
440949424;Locked in Time (Laurel Leaf Books);LOIS DUNCAN;1986;Laure Leaf;1;90
505524996;Contact;Susan Grant;2002;Love Spell;2;199
140252800;The Brimstone Wedding;Barbara Vine;1997;Penguin Books Ltd;1;280
451452755;The Catswold Portal;Shirley Rousseau Murphy;1993;Roc;2;84
812575482;Through Wolf's Eyes (Wolf);Jane Lindskold;2002;Tor Fantasy;1;57
044651747X;Puerto Vallarta Squeeze;Robert James Waller;1995;Warner Books;1;63
60801263;Tree Grows In Brooklyn;Betty Smith;1988;Harpercollins Publisher;1;57
61030147;Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think;Cybill Shepherd;2001;Avon Books;1;84
140250964;Snow Angels;Stewart O'Nan;1995;Penguin Books;1;84
446527165;Wish You Well;David Baldacci;2000;Warner Books;2;57
671461494;The Hitchhiker's Guide to the Galaxy;Douglas Adams;1982;Pocket;1;84
385337639;Crow Lake (Today Show Book Club #7);Mary Lawson;2003;Delta;3;84
039575514X;My Antonia;Willa Cather;1995;Mariner Books;1;199
451206673;Pen Pals;Olivia Goldsmith;2002;Signet Book;1;90
330332775;Bridget Jones's Diary;Helen Fielding;1997;Picador (UK);1;105
486284735;Pride and Prejudice (Dover Thrift Editions);Jane Austen;1995;Dover Publications;2;105
671021745;EYE ON CRIME: HARDY BOYS #153;Franklin W. Dixon;1998;Aladdin;1;105
671047612;Skin And Bones;Franklin W. Dixon;2000;Aladdin;1;105
671504282;LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys, The);Franklin W. Dixon;1995;Simon Pulse;1;105
399138684;The Cat Who Came to Breakfast (Cat Who... (Hardcover));Lilian Jackson Braun;1994;Putnam Pub Group;3;488
785263292;If Singleness Is a Gift, What's the Return Policy?;Holly Virden;2003;Nelson Books;3;59,9
830714014;Always Daddy's Girl: Understanding Your Father's Impact on Who You Are;H. Norman Wright;1989;Regal Books;3;49,9
345354931;Night Mare (Xanth Novels (Paperback));Piers Anthony;1990;Del Rey Books;1;189
553278223;The Martian Chronicles;RAY BRADBURY;1984;Spectra;0;0
3150000335;Kabale Und Liebe;Schiller;0;Philipp Reclam, Jun Verlag GmbH;1;63
3257203659;Der illustrierte Mann. Erz√?¬§hlungen.;Ray Bradbury;2002;Diogenes;1;63
3257207522;Der K√?¬∂nig in Gelb.;Raymond Chandler;1980;Diogenes Verlag;2;63
3257208626;Fahrenheit 451;Ray Bradbury;1994;Distribooks Inc;1;63
3257208634;Die Mars- Chroniken. Roman in Erz√?¬§hlungen.;Ray Bradbury;1981;Diogenes Verlag;1;63
3257208669;Das B√?¬∂se kommt auf leisen Sohlen.;Ray Bradbury;2003;Diogenes;1;51,6
3257210450;L√?¬∂wenzahnwein. Roman.;Ray Bradbury;1999;Diogenes Verlag;1;51,6
3257212054;Das Kind von morgen. Erz√?¬§hlungen.;Ray Bradbury;2000;Diogenes Verlag;5;62,38
3257212429;Die Mechanismen der Freude. Erz√?¬§hlungen.;Ray Bradbury;2000;Diogenes Verlag;3;99
3257214154;Familientreffen. Erz√?¬§hlungen.;Ray Bradbury;2000;Diogenes Verlag;1;57
3257216416;Der Tod kommt schnell in Mexico. Erz√?¬§hlungen.;Ray Bradbury;1988;Diogenes Verlag;2;55
3257233051;Veronika Deschliesst Zu Sterben / Vernika Decides to Die;Paolo Coelho;2002;Distribooks;0;55
342311360X;Die Liebe in Den Zelten;Gabriel Garcia Marquez;0;Deutscher Taschenbuch Verlag (DTV);0;0
3423116714;Die Klone der Joanna May. Roman.;Fay Weldon;1993;Dtv;1;149
3423241489;Ist mein Hintern wirklich so dick? Tagebuch einer empfindsamen Frau.;Arabella Weir;1998;Dtv;8;139,3
3426605686;Haifischfrauen.;Kiana Davenport;1996;"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co.";1;139
3453212150;Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.;Sue Townsend;2002;Heyne;0;349,9
3462021095;Schwarzer Tee mit drei St√ºck Zucker;Renan Demirkan;1991;"Kiepenheuer &amp; Witsch";2;199
3492045642;Quersch√?¬ºsse - Downsize This!;Michael Moore;2003;Piper;1;112
3498020862;Die Korrekturen.;Jonathan Franzen;2002;Rowohlt, Reinbek;1;320
3499110695;Neun Erz√?¬§hlungen.;Jerome D. Salinger;1968;Rowohlt Tb.;3;349
3499151502;Hebt den Dachbalken hoch, Zimmerleute / Seymour wird vorgestellt.;Jerome D. Salinger;1998;Rowohlt Tb.;1;100
3518111000;Ulysses (√?¬?bersetzg. Wollschl√?¬§ger). ( Neue Folge, 100).;James Joyce;1981;Suhrkamp;1;119
3548254268;Eine ganz normale Aff√?¬§re.;Joanna Trollope;2002;Ullstein Tb;6;399
3570300099;Das Intimleben des Adrian Mole, 13 3/4 Jahre. cbt. ( Ab 14 J.).;Sue Townsend;2002;Bertelsmann, M√?¬ºnchen;5;349
3596292646;Das Buch der l√?¬§cherlichen Liebe.;Milan Kundera;2000;Fischer (Tb.), Frankfurt;1;319
60977493;The God of Small Things;Arundhati Roy;1998;Perennial;1;149
312872682;"The James Dean Affair: A Neil Gulliver &amp; Stevie Marriner Novel";Robert S. Levinson;2000;St Martins Pr;2;59
316602906;The Big Bad Wolf: A Novel;James Patterson;2003;Little, Brown;0;594
316693006;Four Blind Mice;James Patterson;2002;Little, Brown;2;176
345311396;Private Screening;Richard North Patterson;1994;Ballantine Books;1;89,9
345378490;Congo;Michael Crichton;1995;Ballantine Books;2;176
345404793;Protect and Defend;Richard North Patterson;2001;Ballantine Books;0;199
345433173;The Tall Pine Polka;Lorna Landvik;1999;Ballantine Books;0;319
375400117;Memoirs of a Geisha;Arthur Golden;1997;Alfred A. Knopf;1;299
375705856;Plainsong (Vintage Contemporaries);KENT HARUF;2000;Vintage;0;103,2
380717018;Body of Evidence (Kay Scarpetta Mysteries (Paperback));Patricia D. Cornwell;1992;Avon;0;299
380718332;All That Remains (Kay Scarpetta Mysteries (Paperback));Patricia D. Cornwell;1993;Avon;4;199
380754509;The Case of the Lost Look-Alike (An Avon Camelot Book);Carol J. Farley;1988;Avon Books;2;99,9
038076654X;Petals on the River;Kathleen E. Woodiwiss;1997;Avon Trade;0;299
380807866;The Elusive Flame;Kathleen E. Woodiwiss;1999;Avon;1;349
385316895;Legacy of Silence;Belva Plain;1998;Bantam Dell Pub Group;1;129
385497466;The Brethren;JOHN GRISHAM;2000;Doubleday;1;99,9
385508042;The King of Torts;John Grisham;2003;Doubleday Books;6;199
385509456;The Curious Incident of the Dog in the Night-Time : A Novel;MARK HADDON;2003;Doubleday;0;89,9
385511612;Bleachers;John Grisham;2003;Doubleday;1;240
385730586;Sisterhood of the Traveling Pants;ANN BRASHARES;2003;Delacorte Books for Young Readers;0;175
425164403;Only Love (Magical Love);Erich Segal;1998;Berkley Publishing Group;3;249
440234964;All or Nothing (Wheeler Large Print Books);Elizabeth Adler;2000;Island;0;169
446605484;Roses Are Red (Alex Cross Novels);James Patterson;2001;Warner Vision;1;890
446610399;The Rescue;Nicholas Sparks;2001;Warner Books;1;299
449006522;Manhattan Hunt Club;JOHN SAUL;2002;Ballantine Books;1;79,8
449911004;Patty Jane's House of Curl (Ballantine Reader's Circle);LORNA LANDVIK;1996;Ballantine Books;1;79,8
451162072;Pet Sematary;Stephen King;1994;Signet Book;2;349
451186648;Silent Snow;Steve Thayer;2000;Signet Book;1;189
452282152;Girl with a Pearl Earring;Tracy Chevalier;2001;Plume Books;2;149
051513290X;Summer of Storms;Judith Kelman;2002;Jove Books;1;114,4
553580388;The Patient;Michael Palmer;2001;Bantam Books;1;199
590598848;Demona's Revenge (Gargoyles, No. 2);Francine Hughes;1995;Scholastic;6;176
590629719;Clifford's Sports Day;Norman Bridwell;1996;Scholastic;6;176
671023616;Postmortem (Kay Scarpetta Mysteries (Paperback));Patricia Cornwell;1998;Pocket;1;176
671027387;Deception Point;Dan Brown;2002;Pocket;3;169
684848783;Tis : A Memoir;Frank McCourt;1999;Scribner;7;199
743486226;"Angels &amp; Demons";Dan Brown;2003;Atria;1;109
786863986;A Monk Swimming;Malachy McCourt;1998;Hyperion;7;107,2
803251718;Crazy Horse;Mari Sandoz;1961;University of Nebraska Press;25;299
804117934;The Silent Cry (William Monk Novels (Paperback));Anne Perry;1998;Ivy Books;25;279,3
140003180X;The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency);ALEXANDER MCCALL SMITH;2004;Anchor;1;299
155874262X;Chicken Soup for the Soul (Chicken Soup for the Soul);Jack Canfield;1993;Health Communications;5;69,9
60987103;Wicked: The Life and Times of the Wicked Witch of the West;Gregory Maguire;1996;Regan Books;9;66
151008116;Life of Pi;Yann Martel;2002;Harcourt;0;176,9
375704965;A Judgement in Stone;Ruth Rendell;2000;Vintage Books USA;0;98
525947647;Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right;Al Franken;2003;Dutton Books;6;164
804111359;Secret History;DONNA TARTT;1993;Ballantine Books;2;109
1558744150;Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper));Jack Canfield;1996;Health Communications;0;0
435272683;Great Expectations (Heinemann Guided Readers);John Milne;1995;Delta Systems;4;244,3
316782505;The Weight of Water;Anita Shreve;2001;Little, Brown;1;0
006102063X;Moving Pictures (Discworld Novels (Paperback));Terry Pratchett;2002;HarperTorch;1;240
60013117;Night Watch;Terry Pratchett;2002;HarperCollins;1;199
60199563;Thief of Time;Terry Pratchett;2001;HarperCollins Publishers;10;229
006052779X;Charlotte's Web Book and Charm (Charming Classics);E. B. White;2003;HarperFestival;0;0
60563079;Peter Pan: The Original Story (Peter Pan);J. M. Barrie;2003;HarperFestival;0;0
60809027;My Friend Flicka;Mary O'Hara;1988;Perennial;0;0
61040967;The Last Hero : A Discworld Fable (Discworld Novels (Hardcover));Terry Pratchett;2001;HarperCollins;0;0
61050474;Jingo: A Discworld Novel (Discworld Series/Terry Pratchett);Terry Pratchett;1998;HarperPrism;0;0
61052515;Maskerade: A Novel of Discworld (Pratchett, Terry. Discworld Series (New York, N.Y.).);Terry Pratchett;1997;HarperPrism;0;0
61052523;Interesting Times: A Novel of Discworld;Terry Pratchett;1997;Harpercollins;0;0
64472264;On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson;Louise Rennison;2002;HarperTempest;0;0
140620664;Mansfield Park (Penguin Popular Classics);Jane Austen;1994;Penguin Books Ltd;0;0
312148267;The Wind in the Willows;Kenneth Grahame;1996;St. Martin's Press;0;0
312156960;The Winter King: A Novel of Arthur (The Warlord Chronicles: I);Bernard Cornwell;1997;St. Martin's Griffin;0;249,9
312890044;Moonheart (Newford);Charles de Lint;1994;Orb Books;1;349
034543191X;The King of Elfland's Daughter (Del Rey Impact);Edward John Moreton Drax Plunkett Dunsany;1999;Del Rey Books;1;149
373836023;Powder and Patch;Georgette Heyer;2004;Harlequin;0;129,9
375751513;The Picture of Dorian Gray (Modern Library (Paperback));OSCAR WILDE;1998;Modern Library;24;249
375801677;The Iron Giant;Ted Hughes;1999;Knopf Books for Young Readers;10;249
375814248;James and the Giant Peach;ROALD DAHL;2002;Knopf Books for Young Readers;1;86
375823352;The Amber Spyglass (His Dark Materials, Book 3);PHILIP PULLMAN;2002;Knopf Books for Young Readers;7;249
037582345X;The Golden Compass (His Dark Materials, Book 1);PHILIP PULLMAN;2002;Knopf Books for Young Readers;2;59,9
375823468;The Subtle Knife (His Dark Materials, Book 2);PHILIP PULLMAN;2002;Knopf Books for Young Readers;2;99,9
380730448;The Adrian Mole Diaries : The Secret Diary of Adrian Mole, Aged 13 3/4 : The Growing Pains of Adrian Mole;Sue Townsend;1997;Perennial;0;0
380973839;Martian Chronicles;Ray Bradbury;1997;William Morrow;3;149
385327773;The Great God Pan;Donna Jo Napoli;2003;Wendy Lamb Books;3;99,9
394586239;Possession: A Romance;A. S. Byatt;1990;Random House Inc;1;129
439510112;Born Confused;Tanuja Desai Hidier;2003;Push;4;80
440241413;Confessions of a Shopaholic;SOPHIE KINSELLA;2003;Dell;1;299
451409256;Making Minty Malone;Isabel Wolff;2000;Onyx Books;7;233,83
451523415;Little Women (Signet Classic);Louisa May Alcott;1988;Signet Classics;16;199
451526279;Emma (Signet Classics (Paperback));Jane Austen;1996;Signet Classics;0;0
451526341;Animal Farm;George Orwell;2004;Signet;5;156
486415864;Great Expectations (Dover Thrift Editions);Charles Dickens;2001;Dover Publications;2;199
553280589;Eva Luna;Isabel Allende;1989;Bantam Books;1;29,99
571197639;Poisonwood Bible Edition Uk;Barbara Kingsolver;0;Faber Faber Inc;0;79,99
670035262;The Green Man : Tales from the Mythic Forest;Ellen Datlow;2002;Viking Juvenile;3;89,9
679423079;Nicholas Nickleby (Everyman's Library);Charles Dickens;1993;Alfred A. Knopf;0;129
679751343;"Angels &amp; Insects : Two Novellas";A.S. BYATT;1994;Vintage;2;149
684833395;Catch 22;Joseph Heller;1996;"Simon &amp; Schuster";1;199
743245024;The Forsyte Saga : The Man of Property and In Chancery;John Galsworthy;2002;Touchstone;11;69,9
749748001;The Enchanted Wood;Enid Blyton;2002;Egmont Childrens Books;1;119
749748028;The Folk of the Faraway Tree;Enid Blyton;2002;Egmont Childrens Books;5;202,3
963094424;Angels and Visitations: A Miscellany;Neil Gaiman;1993;Dreamhaven Books;4;249,9
1401201172;League of Extraordinary Gentlemen, Vol. 2 (Comic);Alan Moore;2003;DC Comics;3;149,9
