ID;Название;Тип;Автор;Автор (ФИО);Возрастное ограничение на книгу;Дата поступления;Цена поступления;Кол-во выдач;Дата списания книги;Инвентарный номер;Выдана до;Жанр книги
8927442;100% юмора. Армия, авиация и немножко флота;Электронный текст;Андрей Ситнянский;Ситнянский Андрей Иванович;18;28.03.2015 12:28;119;0;;305170431;;#анекдоты# юмор и сатира
28257222;100+ хаков для интернет-маркетологов: Как получить трафик и конвертировать его в продажи;Электронный текст;Денис Савельев;Савельев Денис;12;25.01.2018 10:09;299;1;;978355822;;#интернет-маркетинг
21545551;1000 блюд от салатов до десертов для праздников и на каждый день;Электронный текст;;;12;13.06.2018 14:27;102;1;;1102875501;;#кулинария
25102157;1000 самых нужных английских фраз. Разговорный тренинг;PDF-книга;С. А. Матвеев;Матвеев Сергей Александрович;16;19.05.2018 16:52;164;4;;1081591106;;#английский язык# самоучители
9311113;1000 советов доктора Агапкина;Электронный текст;Сергей Агапкин;Агапкин Сергей Николаевич;16;25.08.2015 11:01;199;1;;351407647;;#здоровье# медицина
11979292;10000 дней. Менеджмент жизни;Электронный текст;О. И. Жданов;Жданов О. И.;16;26.11.2016 14:17;110;1;;644745095;;#практическая психология# психологические тренинги# саморазвитие / личностный рост
6599150;1001 книга, которую нужно прочитать вашему ребенку, пока он не вырос;PDF-книга;;;0;20.02.2014 12:37;229.9;0;;168813131;;#воспитание детей# энциклопедии
18514930;100 подвигов Великой Войны;Электронный текст;Андрей Викторович Григорьев;Григорьев Андрей Викторович;12;29.04.2016 10:11;20;2;;510227124;;#книги для детей# пьесы и драматургия# стихи и поэзия
22035910;10 заповедей успешного стартапа, бизнеса с нуля и по франшизе. Предпринимательский дух;Электронный текст;Даниил Светский;Светский Даниил;18;05.11.2016 10:08;96;1;;630787603;;#общая психология# просто о бизнесе# руководства# рукоделие и ремесла# современная русская литература
11815990;10 способов стать убедительным;Электронный текст;Тони Бьюзен;Бьюзен Тони ;16;04.01.2017 11:54;239;2;;672057443;;#зарубежная образовательная литература# зарубежная психология# ораторское искусство / риторика# саморазвитие / личностный рост
9093275;11/22/63;Аудиокнига;Стивен Кинг;Кинг Стивен ;12;19.04.2015 11:41;299;9;;311999578;21.11.2021 23:59;#зарубежная фантастика# попаданцы
4986890;11/22/63;Электронный текст;Стивен Кинг;Кинг Стивен ;16;19.02.2015 9:07;199;25;17.06.2020 0:18;291632134;;#зарубежная фантастика# научная фантастика# попаданцы# социальная фантастика
18109101;12 историй о настоящей любви (сборник);Электронный текст;Лэйни Тэйлор;Тэйлор Лэйни;18;14.11.2016 11:09;199;4;;636623808;;#зарубежные любовные романы# короткие любовные романы# современные любовные романы
6664939;12 лет рабства. Реальная история предательства, похищения и силы духа;Электронный текст;Соломон Нортап;Нортап Соломон;16;05.04.2014 16:44;149.9;2;;177215674;;#биографии и мемуары# зарубежная классика# зарубежная публицистика# литература 19 века
6698633;12 недель в году;Электронный текст;Майкл Леннингтон;Леннингтон Майкл;16;28.05.2014 10:40;269;25;20.02.2021 0:15;190906824;;#личная эффективность# тайм-менеджмент
24431449;12 новых историй о настоящей любви (сборник);Электронный текст;Брэнди Колберт;Колберт Брэнди;18;04.01.2018 12:29;239;2;;955096842;;#современная зарубежная литература
6655280;120 лет жизни – только начало. Как победить старение?;Электронный текст;Алексей Москалев;Москалев Алексей Александрович;16;02.12.2014 9:02;49.9;0;;254722001;;#геронтология# здоровье
24822537;13 минут;Электронный текст;Сара Пинборо;Пинборо Сара;16;12.03.2018 12:30;158;5;;1024166565;;#зарубежные детективы# триллеры
8685722;13 причин почему;Электронный текст;Джей Эшер;Эшер Джей ;16;16.09.2017 11:48;159;6;;869145675;;#современная зарубежная литература
9964390;14. Женская проза «нулевых»;Электронный текст;Ирина Мамаева;Мамаева Ирина;16;06.06.2015 10:52;139;0;;325965458;;#современная русская литература
11281273;15 лучших рассказов на английском / 15 Best Short Stories. Метод комментированного чтения;PDF-книга;Кейт Шопен;Шопен Кейт;12;02.09.2015 10:28;149;6;;355417957;;#английский язык# зарубежная классика
18037599;15 уроков Лиз Бурбо. Исцели травмы, которые мешают тебе быть счастливым, любимым и богатым;Электронный текст;Мария Абер;Абер Мария;12;28.08.2018 12:57;169;5;;1169825532;;#психологические тренинги# саморазвитие / личностный рост
8879517;150 ритуалов для привлечения денег;Электронный текст;О. Н. Романова;Романова Ольга Николаевна;12;24.01.2015 12:38;75;0;;280456833;;#эзотерика / оккультизм
6896214;16 уроков английского языка. Начальный курс;PDF-книга;Дмитрий Петров;Петров Дмитрий Юрьевич;12;25.08.2015 11:00;249;25;19.10.2017 0:07;351407454;;#английский язык# иностранные языки
6896214;16 уроков английского языка. Начальный курс;PDF-книга;Дмитрий Петров;Петров Дмитрий Юрьевич;12;01.08.2017 9:00;249;21;;839634852;;#английский язык# иностранные языки
6896224;16 уроков французского языка. Начальный курс. Эконом-вариант;PDF-книга;Дмитрий Петров;Петров Дмитрий Юрьевич;12;12.08.2014 11:18;176.9;1;;215132807;;#иностранные языки# французский язык
3459935;170 cамых сложных в мире головоломок. Задачи, ребусы и каверзные вопросы для ума;PDF-книга;Гэри Грубер;Грубер Гэри;0;15.04.2016 18:09;54.99;6;;498895591;;#зарубежная прикладная литература# интеллектуальные игры# развлечения# саморазвитие / личностный рост
3920775;1917. Разгадка «русской» революции;Электронный текст;Николай Стариков;Стариков Николай Викторович;16;28.10.2015 9:28;209;1;;383809827;;#история России# общая история# политология# популярно об истории
129098;1984;Электронный текст;Джордж Оруэлл;Оруэлл Джордж;16;11.01.2020 9:54;119;25;05.11.2021 0:10;1965724333;;#зарубежная фантастика# историческая фантастика# классика фантастики# социальная фантастика
129098;1984;Электронный текст;Джордж Оруэлл;Оруэлл Джордж;16;10.07.2014 15:54;59.9;25;11.01.2020 0:19;203717519;;#зарубежная фантастика# историческая фантастика# классика фантастики# социальная фантастика
63589523;1984;Электронный текст;Джордж Оруэлл;Оруэлл Джордж;16;09.02.2021 10:10;149;7;;2443502738;27.11.2021 23:59;#зарубежная фантастика# классика фантастики# социальная фантастика
6183543;1993;Электронный текст;Сергей Шаргунов;Шаргунов Сергей Александрович;18;24.02.2016 9:26;119.9;2;;461609216;;#современная русская литература
8922099;1С Бухгалтерия 8.3. 100 уроков для начинающих;PDF-книга;Алексей Гладкий;Гладкий Алексей Анатольевич;12;20.10.2016 8:58;199;5;;621283467;;#бухучет / налогообложение / аудит# программы# руководства
3947245;1С: Бухгалтерия 8.2. Понятный самоучитель для начинающих;Электронный текст;Алексей Гладкий;Гладкий Алексей Анатольевич;0;02.09.2015 10:33;99.9;3;;355423792;;#бухучет / налогообложение / аудит# программы
11838240;1С:Предприятие 8.3. Бухгалтерия предприятия;PDF-книга;Виолетта Филатова;Филатова Виолетта Олеговна;0;30.04.2016 10:05;119;4;;510949096;;#бухучет / налогообложение / аудит# программы# самоучители
182402;2 Э: Этика и этикет в бизнесе;Электронный текст;Дэйв Коллинз;Коллинз Дэйв;18;05.06.2018 13:48;49.9;1;;1095669038;;#корпоративная культура
26119733;2 раза за 25 суток;Электронный текст;Яна Егорова;Егорова Яна;18;29.10.2021 9:05;99.9;1;;2665907989;;#короткие любовные романы# современные любовные романы# эротические романы
5808591;20 лучших историй о животных;Электронный текст;Коллектив авторов;Коллектив авторов;16;21.11.2014 8:58;39;1;;250545769;;#детская проза# русская классика
4570190;20 простых финансовых советов, или Как сэкономить 1000 евро в год;Электронный текст;С. В. Березин;Березин Сергей Васильевич;0;07.05.2016 10:48;103;1;;515911726;;#личные финансы# просто о бизнесе
6693690;20 сложных ситуаций с детьми от 2 до 7 лет. Проверенные алгоритмы для родителей: как вести себя, чтобы не навредить, а помочь;Электронный текст;Елена Сосорева;Сосорева Елена Петровна;12;14.02.2015 18:35;29.95;2;;289717728;;#воспитание детей# детская психология# педагогика
42816388;21 урок для XXI века;Электронный текст;Юваль Ной Харари;Харари Юваль Ной;16;27.11.2019 8:53;399;14;;1909113976;;#зарубежная публицистика# научно-популярная литература
24729227;228, Или кто хотел стать миллионером;Электронный текст;Игорь Сергеевич Лехнер;Лехнер Игорь Сергеевич;18;06.03.2021 11:20;99.9;2;;2467226165;;#документальная литература# публицистика
4986508;25 привычек успешного пиарщика;Электронный текст;Роман Масленников;Масленников Роман Михайлович;12;29.07.2014 10:12;199;0;;209756141;;#бизнес-стратегии# привлечение клиентов
22806024;25 раз за 2 суток;Электронный текст;Яна Егорова;Егорова Яна;21;15.02.2017 8:50;0;2;;701063038;;#короткие любовные романы# современные любовные романы# эротические романы
3948515;2500 задач по математике. 1-4 классы;PDF-книга;Е. А. Нефёдова;Нефёдова Елена Алексеевна;0;08.10.2015 9:18;33.99;2;;373909978;;#задачники# школьные учебники по математике
127876;29 отравленных принцев;Электронный текст;Татьяна Степанова;Степанова Татьяна Юрьевна;16;25.12.2018 11:32;79.99;4;;1389685847;;#полицейские детективы# современные детективы
164601;3 главных вопроса. Семейное счастье;Электронный текст;Андрей Курпатов;Курпатов Андрей Владимирович;18;01.12.2016 10:11;79.99;15;;648012303;;#любовь и отношения# семейная психология
20245429;30 уроков французского языка;PDF-книга;С. А. Матвеев;Матвеев Сергей Александрович;12;07.11.2016 10:23;164;1;;631969704;;#самоучители# французский язык
33389825;30 шикарных дней: план по созданию жизни твоей мечты;Электронный текст;Фиона Феррис;Феррис Фиона;16;17.05.2018 13:08;249;8;;1079981086;;#зарубежная психология# саморазвитие / личностный рост
11634296;32 ошибки в рекламных объявлениях. Практическое руководство маркетолога и руководителя;Электронный текст;Ирина Федотова;Федотова Ирина К.;12;10.09.2015 8:56;115;2;;359890545;;#реклама# стратегия маркетинга# управление маркетингом
5807235;33 лучших юмористических рассказа;Электронный текст;Ефим Зозуля;Зозуля Ефим;12;15.05.2015 10:28;39;13;;319367341;;#зарубежная классика# зарубежный юмор# русская классика# юмористическая проза
624835;33 стратегии войны;Электронный текст;Роберт Грин;Грин Роберт ;12;10.01.2015 15:18;199;0;;272896204;;#зарубежная психология# личная эффективность# психология управления# саморазвитие / личностный рост# социальная психология
146284;35 кило надежды;Электронный текст;Анна Гавальда;Гавальда Анна ;16;15.06.2017 18:39;59.9;12;;807829459;;#современная зарубежная литература
6649410;365 лучших сказок мира;Электронный текст;Лидия Чарская;Чарская Лидия Алексеевна;12;01.08.2017 8:59;99;8;;839634446;;#детская проза# сказки
6649410;365 лучших сказок мира;Электронный текст;Лидия Чарская;Чарская Лидия Алексеевна;12;20.09.2018 18:43;0;1;;1195716299;;#детская проза# сказки
21135812;365 научных опытов на каждый день;PDF-книга;Мария Яковлева;Яковлева Мария Александровна;6;23.09.2016 10:35;199;1;;604735693;;#детская познавательная и развивающая литература# естествознание# прочая образовательная литература# учебная литература
6057273;365 рецептов на каждый день;Электронный текст;Юлия Высоцкая;Высоцкая Юлия Александровна;16;04.06.2014 10:01;199.9;7;;193078444;;#кулинария
22468944;38 приемов тайм-менеджмента;Электронный текст;Александр Марков;Марков Александр;0;24.02.2018 17:08;0;2;;1008685752;;#тайм-менеджмент
8743208;4 вида любви;Электронный текст;Михаил Литвак;Литвак Михаил Ефимович;16;30.10.2015 9:56;149;9;;384831052;;#любовь и отношения# саморазвитие / личностный рост# семейная психология
8507736;4.51 стратагемы для Путина;Электронный текст;Нурали Латыпов;Латыпов Нурали Нурисламович;12;16.11.2014 12:48;149.9;0;;248902625;;#политология# публицистика
11286650;40 лет – время желаний. Секретные механизмы построения успешных отношений;Электронный текст;Семен Лавриненко;Лавриненко Семен Валерьевич;12;10.10.2016 10:27;149;6;;615181203;;#практическая психология# саморазвитие / личностный рост# социальная психология
9368164;45 татуировок менеджера. Правила российского руководителя;Аудиокнига;Максим Батырев;Батырев Максим;12;09.02.2021 9:19;599;9;;2443461054;;#лидерство# менеджмент и кадры# организационный менеджмент# управление бизнесом
6187749;45 татуировок менеджера. Правила российского руководителя;Электронный текст;Максим Батырев;Батырев Максим;16;26.06.2018 15:13;279.3;25;12.09.2020 0:18;1113580371;;#лидерство# менеджмент и кадры
6187749;45 татуировок менеджера. Правила российского руководителя;Электронный текст;Максим Батырев;Батырев Максим;16;20.05.2014 10:43;269;25;26.06.2018 0:10;188935529;;#лидерство# менеджмент и кадры
127505;451 градус по Фаренгейту;Электронный текст;Рэй Брэдбери;Брэдбери Рэй Дуглас;12;04.07.2014 13:20;69.9;25;21.08.2019 0:24;202143105;;#зарубежная фантастика# классика фантастики# научная фантастика# социальная фантастика
39507162;451 градус по Фаренгейту;Электронный текст;Рэй Брэдбери;Брэдбери Рэй Дуглас;16;07.07.2020 13:40;249;18;;2221890790;;#зарубежная фантастика# классика фантастики# научная фантастика# социальная фантастика
29424422;48 причин, чтобы взять тебя на работу;Электронный текст;Стелла Грей;Грей Стелла;18;26.05.2018 10:52;99.9;16;;1086838703;;#остросюжетные любовные романы# современные любовные романы# эротические романы
9525173;5 методов воспитания детей;Электронный текст;Михаил Литвак;Литвак Михаил Ефимович;16;06.10.2016 12:53;149;11;;612699395;;#воспитание детей# детская психология
6183822;5-я волна;Электронный текст;Рик Янси;Янси Рик;16;17.01.2014 16:10;99.9;4;;162651746;;#боевая фантастика# зарубежная фантастика# научная фантастика# социальная фантастика
4926793;50 знаменитых чудаков;Электронный текст;Валентина Мирошникова;Мирошникова Валентина Валентиновна;0;20.03.2014 9:26;55;1;;173345522;;#биографии и мемуары
10316466;50 лучших головоломок для развития левого и правого полушария мозга;Электронный текст;Чарльз Филлипс;Филлипс Чарльз;16;17.09.2015 12:01;79.99;4;;363731766;;#зарубежная прикладная литература# зарубежная психология# саморазвитие / личностный рост
10209119;50 лучших головоломок с числами. Быстрое и точное мышление;PDF-книга;Чарльз Филлипс;Филлипс Чарльз;12;02.10.2015 9:02;79.99;5;;371185848;;#зарубежная прикладная литература# зарубежная психология# личная эффективность# психологические тесты# саморазвитие / личностный рост
3090475;50 любимых маленьких сказок;Аудиокнига;Народное творчество;Народное творчество (Фольклор);0;20.09.2018 18:43;0;9;;1195716002;;#сказки
6691800;50 ночей удовольствия. Сценарии сексуальных приключений;PDF-книга;Лаура Элиас;Элиас Лаура;18;29.04.2014 13:00;79.99;6;;183562371;;#секс / секс-руководства# эротическая литература
9531089;50 основных психологических ловушек и способы их избежать;Электронный текст;Николай Медянкин;Медянкин Николай;12;12.05.2015 10:52;89.9;0;;318535789;;#практическая психология# саморазвитие / личностный рост
17206493;50 правил умной дуры;Электронный текст;Павел Раков;Раков Павел Александрович;16;23.03.2016 19:46;99.9;4;;482889286;;#практическая психология# психологические тренинги# саморазвитие / личностный рост# семейная психология
664625;50 проектов индивидуальных домов с расчетом количества и стоимости материалов и работ;PDF-книга;И. И. Молотов;Молотов Игорь Игоревич;0;27.09.2016 9:19;59.9;2;;607054698;;#сделай сам# справочная литература
33397366;50 сокрушительных ударов по бедности;Электронный текст;Алишер Отабаев;Отабаев Алишер;12;16.05.2018 13:42;260;1;;1079267711;;#личная эффективность# личные финансы
4442001;50 уроков привлечения денег от великих учителей мира. Р. Кийосаки, С. Кови, Н. Хилл, Э. де Боно, О. Мандино, Х. Сильва;Электронный текст;Олег Серапионов;Серапионов Олег;0;02.08.2014 13:06;89.9;1;;211581007;;#личные финансы# просто о бизнесе# психологические тренинги
7063037;500 лучших бесплатных приложений для платформы Android;PDF-книга;С. А. Борисов;Борисов Сергей Александрович;0;16.02.2016 11:12;210;2;;455805163;;#книги о компьютерах# программы
5313110;500 самых важных слов испанского языка;PDF-книга;С. А. Матвеев;Матвеев Сергей Александрович;0;12.09.2018 11:20;19.99;1;;1184815348;;#другие словари# другие справочники# иностранные языки# испанский язык
6689500;500 узоров;PDF-книга;Е. А. Нефёдова;Нефёдова Елена Алексеевна;6;13.04.2014 13:33;29.95;0;;179102931;;#учебная литература
6581052;5000 задач по математике. 1-4 классы;Электронный текст;Е. А. Нефёдова;Нефёдова Елена Алексеевна;0;15.09.2015 10:43;89.9;2;;362526870;;#математика# учебная литература
23878693;50 и один шаг назад;Электронный текст;Лина Мур;Мур Лина;18;09.01.2018 15:44;200;4;;960391119;;#современные любовные романы# эротические романы
8717891;60 дней с доктором Дюканом;PDF-книга;Пьер Дюкан;Дюкан Пьер;16;10.01.2017 9:32;349;4;;676347869;;#похудение и диеты
10316300;69 оттенков Подслушано;Электронный текст;Сборник;Сборник;18;12.09.2016 11:21;139;1;;598235950;;#развлечения# современная русская литература# юмористическая проза
39417715;7 vеков к тебе;Электронный текст;Светлана Мик;Мик Светлана;16;10.02.2019 12:55;0;1;;1504569908;;#историческое фэнтези# любовно-фантастические романы# попаданцы
5009075;7 навыков высокоэффективных людей. Мощные инструменты развития личности;Аудиокнига;Стивен Кови;Кови Стивен Р.;12;14.02.2014 9:47;295;25;05.10.2020 0:24;167697085;;#зарубежная психология# личная эффективность# мотивация# практическая психология# саморазвитие / личностный рост
4239285;7 навыков высокоэффективных людей: Мощные инструменты развития личности;Электронный текст;Стивен Кови;Кови Стивен Р.;0;11.01.2016 10:13;349;25;29.09.2018 0:11;428716024;;#зарубежная психология# личная эффективность# мотивация# практическая психология# саморазвитие / личностный рост
4239285;7 навыков высокоэффективных людей: Мощные инструменты развития личности;Электронный текст;Стивен Кови;Кови Стивен Р.;0;24.02.2021 12:06;459;12;;2457852288;25.11.2021 23:59;#зарубежная психология# личная эффективность# мотивация# практическая психология# саморазвитие / личностный рост
12245679;7 секретов парфюмера, или Как правильно выбрать духи;Электронный текст;Азат Валиев;Валиев Азат;16;07.11.2017 12:48;99.9;2;;906053803;;#здоровье
10266012;7 секретов синхроничности. Руководство по толкованию знаков и символов;Электронный текст;Триш Макгрегор;Макгрегор Триш;16;15.09.2016 11:57;179;2;;600168133;;#астрология# зарубежная прикладная литература# зарубежная религиозная и эзотерическая литература# эзотерика / оккультизм
